序号,城市,区域,板块,环线,小区名称,价格,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,别墅类型,交易时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房屋优势,核心卖点,户型介绍,周边配套,交通出行,lon,lat,年份
0,近畿市,61.0,178.0,,东方夏威夷,15540000,4室2厅2厨4卫,低楼层 (共3层),414.7㎡,,东 南 西 北,钢混结构,毛坯,,,独栋,2018-03-08,商品房,2007-06-10,别墅,满五年,非共有,,房本满五年,东方夏威夷，小区中间位置独栋别墅，三面花园，满五年。,,小区门口有两个银行，中国银行和中国农业银行，烧烤店，火锅店，理发店，铁板烧等，还有方舟市场和菜市场，星罗商场，电影院等休闲场所。,公交路线：815、819、燕4路公交车直达社区门口，815公交车，819路可达北京地铁6号线草房站，共25公里，距北京首都国际机场仅25公里；开车路线京通快速路，京哈高速、102国道辅路，距国贸25公里，机场30公里,116.793487,39.967036,2016
1,近畿市,61.0,178.0,,东方夏威夷,10899000,4室2厅1厨4卫,低楼层 (共2层),362.44㎡,,南 北,钢混结构,精装,一梯一户,无,,2018-06-15,商品房,2014-01-24,普通住宅,满五年,非共有,,房本满五年、,房子满2年没有尾款没有户口带500万装修家电,,小区北门边有新世界百货商场和沃尔玛大型*市，小区南门边配有各种特色饭店，便利店，还有中国银行，农业银行，也有便民市场方舟综合广场,,116.793487,39.967036,2016
2,近畿市,61.0,178.0,,东方夏威夷,2517900,2室1厅1厨1卫,低楼层 (共18层),108.39㎡,86.65㎡,南,钢混结构,简装,两梯三户,有,,2018-10-17,商品房,2016-04-29,普通住宅,满五年,非共有,,房本满五年,此房纯南向两居，户型方正，采光视野较好,此房两个卧室和客厅都朝阳，厨房也朝南有窗户，房子整体采光好。,小区北门边有新世界百货商场和沃尔玛大型*市，小区南门边配有各种特色饭店，便利店，还有中国银行，农业银行，也有便民市场方舟综合广场,"小区门口就有815直达北京国贸,819直达北京草房,机场大巴直达首都机场.小区位于燕顺路上,自驾出行也方便",116.793487,39.967036,2016
3,近畿市,61.0,178.0,,东方夏威夷,2754500,2室1厅1厨2卫,高楼层 (共14层),112.56㎡,,南 北,钢混结构,精装,两梯四户,有,,2018-11-01,商品房,2009-03-24,普通住宅,满五年,非共有,,房本满五年,南北通透大两居，采光视野好可看天鹅湖，好楼层，满二，地暖,大两居室，南北通透，客厅主卧朝南，客厅主卧都是落地窗带阳台，次卧飘窗，两个卫生间，主卧有独立卫生间,,,116.793487,39.967036,2016
4,近畿市,61.0,178.0,,东方夏威夷,7350000,4室3厅1厨2卫,高楼层 (共18层),253.72㎡,,南,钢混结构,精装,两梯三户,有,,2019-02-17,商品房,2009-04-22,普通住宅,满五年,非共有,,、房本满五年、,东方夏威夷顶层复式四居室，精装修，拎包入住。,,小区北门边有新世界百货商场和沃尔玛大型*市，小区南门边配有各种特色饭店，便利店，还有中国银行，农业银行，也有便民市场方舟综合广场,"小区门口就有815直达北京国贸,819直达北京草房,机场大巴直达首都机场.小区位于燕顺路上,自驾出行也方便",116.79331467353,39.968557695112,2017
5,近畿市,61.0,178.0,,东方夏威夷,5757500,3室1厅1厨3卫,中楼层 (共14层),209.93㎡,177.62㎡,南 北,钢混结构,毛坯,两梯两户,有,,2019-03-31,商品房,2011-03-03,普通住宅,满五年,非共有,,装修、房本满五年,能看湖，南北大通透，水岸一号，两梯两户，地暖,三个卧室带个保姆间，客厅餐厅通透对流都是大落地窗带阳台，卧室飘窗，两个主卧朝南一个次卧朝北，厨房也朝北，三个卫生间，户型方正规矩,,,116.793487,39.967036,2017
6,近畿市,61.0,178.0,,东方夏威夷,1981000,2室1厅1厨1卫,低楼层 (共9层),90.28㎡,71.92㎡,南 北,钢混结构,简装,一梯两户,有,,2019-06-01,商品房,2010-05-10,普通住宅,满五年,非共有,,装修、房本满五年、,此房满2年精装修属于花园洋房看房有租户提前联系,,该小区建成于2008-2012年，配套较为成熟，小区东门就有各种小吃店和*市，离小区西门2千米左右有星罗城大型购物广场，距离小区2.5千米有燕达医院，是一家三级甲等医院，配套齐全，满足您日常所需,,116.793487,39.967036,2017
7,近畿市,61.0,178.0,,东方夏威夷,2982000,3室1厅1厨1卫,中楼层 (共14层),136.49㎡,,南 北,钢混结构,毛坯,两梯三户,有,,2019-06-05,商品房,2010-01-12,普通住宅,满五年,非共有,,装修、房本满五年、,此房满五年，户型好，南北通透，采光好，楼层视野好,,东方夏威夷在燕顺路，小区车位充足，小区北门口有新世界百货商场和沃尔玛大型*市，南门配有各种特色饭店，便利店，还有中国银行，农业银行，也有大的便民市场方舟广场，能满足您的日常生活，门口都有公交车，出行便捷,区门口有直达北京的815和819路公交车，815直达国贸，819直达草房，到北京很方便。门口也有燕郊的线内公交308和304路，在燕郊城内出行便利。东方夏威夷南岸，东临燕灵路，南邻学院街，西面是燕顺路，北面是北蔡街，自驾出行便利,116.793487,39.967036,2017
8,近畿市,19.0,165.0,,恒顺家园,525000,1室2厅1厨1卫,高楼层 (共18层),64.95㎡,,东南,钢混结构,简装,两梯五户,有,,2019-08-18,商品房,2014-08-14,普通住宅,满五年,非共有,,装修、房本满五年、,此房满五唯一省税，东南户型，全天采光,东南朝向，早上醒来就能感受到东边的采光，享受清晨带来的一缕阳光,,,116.316246,39.424465,2017
9,近畿市,19.0,165.0,,孔雀城大卫城六期,1253000,2室2厅1厨1卫,中楼层 (共22层),86.19㎡,,南 北,钢混结构,毛坯,一梯四户,有,,2019-08-18,商品房,2017-06-26,普通住宅,满五年,非共有,,装修、房本满五年、,此房南北双通透，全明格局好楼层，视野开阔，采光充足,大卫城好户型，南北双通透，前后双阳台，简单装修，中高楼层，全天无遮挡，采光好,,小区出行、进京便利，公交站点有943、849、828、地铁专线、环城公交等,116.319401,39.460699,2017
